_id,today,_Exact Location_latitude,_Exact Location_longitude,Governorat,District,Is the company registered,What is the Type of registration?,Business name:,Economic sector:,Sub-sector:,Please specify the business products and services,Phone Number,Business Phone Number (If applicable),Enterprise size in terms of number of employees:,"Enterprise size (Micro, Small, Medium, Large)",Do you have any current available vacancies?,Number of job vacancies:,Current//Types of positions available:/Interns,Current//Types of positions available:/Seasonal employees,Current//Types of positions available:/Entry level,Current//Types of positions available:/Mid-senior level,Current//Types of positions available:/Senior management level,Current//Areas of recruitment:/Customer Service Representatives,Current//Areas of recruitment:/Sales,Current//Priority areas of recruitment:/Information Technology (IT),Current//Priority areas of recruitment:/Marketing,Current//Priority areas of recruitment:/Administrative Staff,Current//Priority areas of recruitment:/Finance,Current//Priority areas of recruitment:/Operational Staff (logistics and supply chain),Current//Priority areas of recruitment:/Technical Staff,Current//Priority areas of recruitment:/Others,Current//Please specify,Do you consider youth (18-29 years) from the local community for employment?,Do you expect the need for employees in the next year?,Number of expected job vacancies:,Future//Types of positions available:/Interns,Future//Types of positions available:/Seasonal employees,Future//Types of positions available:/Entry level,Future//Types of positions available:/Mid-senior level,Future//Types of positions available:/Senior management level,Future//TOTAL,Future//Areas of recruitment:/Customer Service Representatives,Future//Areas of recruitment:/Sales,Future//Priority areas of recruitment:/Information Technology (IT),Future//Priority areas of recruitment:/Marketing,Future//Priority areas of recruitment:/Administrative Staff,Future//Priority areas of recruitment:/Finance,Future//Priority areas of recruitment:/Operational Staff (logistics and supply chain),Future//Priority areas of recruitment:/Technical Staff,Future//Priority areas of recruitment:/Others,Future//Please specify,start_date,end_date,start_time,end_time
378389822,2024-09-01,29.5357161,35.0060337,Aqaba,Aqaba Al-Qasabah,Yes,Limited liability,مطعم الصنبور برانيس ,Accommodation and Food Services (Tourism(,Restaurants,خدمات طعام ,797515000,797022206,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,,2024-09-01,2024-09-01,13:57:27.167000,14:01:48.791000
378389823,2024-09-01,29.535635,35.0062543,Aqaba,Aqaba Al-Qasabah,Yes,Sole proprietorship,مطعم منسفنا صح ,Accommodation and Food Services (Tourism(,Restaurants,خدمات طعام ,799786573,62796266646,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,14:02:01.555000,14:08:15.278000
378389825,2024-09-01,29.5336989,35.0057992,Aqaba,Aqaba Al-Qasabah,Yes,Public shareholding,البنك الاسلامي الاردني ,Financial Services,Banking,خدمات مالية ,797459900,32014315,10 to 49,Small,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,3,0,1,0,1,1,3,1,0,0,0,1,1,0,0,0,,2024-09-01,2024-09-01,14:10:18.279000,14:47:27.037000
378389826,2024-09-01,29.5337373,35.0059799,Aqaba,Aqaba Al-Qasabah,Yes,Sole proprietorship,محل اريام شوز ,Wholesale and Retail Trade,Retail trade (general merchandise),بيع احذية ,796288019,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,14:48:12.742000,14:54:08.737000
378389828,2024-09-01,29.5336108,35.0059644,Aqaba,Aqaba Al-Qasabah,Yes,Sole proprietorship,محل اريام ,Wholesale and Retail Trade,Retail trade (general merchandise),بيع مكياج ,770699812,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,14:54:15.934000,14:58:31.631000
378389829,2024-09-01,29.5335971,35.0059959,Aqaba,Aqaba Al-Qasabah,Yes,Limited liability,شركة القوارب للتجارة والاستثمار ,Human Health and Social Work Activities,Medical practices,منتجات طبية ,790906763,792031138,50 to 250,Medium,Yes,5,0,4,0,1,0,0,1,0,0,0,0,0,0,0,صيدلانيات ,Yes,Yes,3,0,2,0,1,0,3,0,1,0,0,0,0,0,0,1,صيدلانيات ,2024-09-01,2024-09-01,14:58:49.313000,15:06:02.484000
378389830,2024-09-01,29.5336103,35.0059686,Aqaba,Aqaba Al-Qasabah,Yes,Sole proprietorship,محل زينة بوتيك ,Wholesale and Retail Trade,Retail trade (general merchandise),محل البسة ,791401884,796005859,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,Yes,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,15:16:29.541000,15:20:44.666000
378389832,2024-09-01,29.5335519,35.0060686,Aqaba,Aqaba Al-Qasabah,Yes,Sole proprietorship,Us mall,Wholesale and Retail Trade,Retail trade (general merchandise),بضائع اوروبية ,78299971,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,15:23:55.668000,15:30:22.965000
378397618,2024-08-29,32.4941954596687,35.6841749222709,Irbid,Koorah,Yes,Sole proprietorship,مختبرات الكوره الطبيه ,Human Health and Social Work Activities,Medical practices,مختبرات و تحاليل طبيه,778380258,778380258,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,2024-08-29,2024-09-01,08:51:50.087000,15:13:44.929000
378397620,2024-09-01,32.5422421,35.851142,Irbid,Irbid Qasabah,Yes,Sole proprietorship,مركز حفصه بنت عمر القرآني ,Education,Primary education,تعليم و حفظ القرآن الكريم و أحكام التجويد,787819148,787819148,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,,2024-09-01,2024-09-01,12:12:59.884000,12:17:15.951000
378397622,2024-09-01,32.5420476,35.8514094,Irbid,Irbid Qasabah,Yes,Sole proprietorship,دار البيان للكتب الطبيه ,Education,Research institutions,مكتبه لبيع الكتب الطبيه,799561929,799561929,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,12:17:20.586000,12:22:42.938000
378397625,2024-09-01,32.5420531,35.8510742,Irbid,Irbid Qasabah,Yes,Sole proprietorship,مركز الشرق الثقافي ,Education,Secondary education,مركز لتعلم اللغات,772525260,772525260,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,,2024-09-01,2024-09-01,12:22:45.755000,12:26:16.719000
378397628,2024-09-01,32.5420227,35.8508746,Irbid,Irbid Qasabah,Yes,Sole proprietorship,نادي الرياضه,"Arts, Entertainment, and Recreation",Sports,محل لبيع الملابس الرياضيه و اجهزه النوادي الرياضيه,796884946,796884946,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,12:26:19.680000,12:29:04.391000
378397633,2024-09-01,32.5422021,35.8508455,Irbid,Irbid Qasabah,Yes,Sole proprietorship,Style saloon,Service Activities,Personal services,صالون حلاقه رجالي ,788626975,788626975,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,2024-09-01,2024-09-01,12:29:07.454000,12:34:03.520000
378397637,2024-09-01,32.5424715,35.850776,Irbid,Irbid Qasabah,Yes,Sole proprietorship,المركز الأمريكي البريطاني للتدريب ,Education,Universities,مركز لتعلم اللغات,786187510,786187510,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,,2024-09-01,2024-09-01,12:34:06.306000,12:37:32.791000
378397639,2024-09-01,32.5425196,35.8507385,Irbid,Irbid Qasabah,Yes,Sole proprietorship,مركز عمر بن الخطاب الثقافي,Education,Research institutions,مركز لإعطاء دوام تدريبيه في عده مجالات,795735242,795735242,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,,2024-09-01,2024-09-01,12:37:35.728000,12:42:28.909000
378397646,2024-09-01,32.5415956,35.851091,Irbid,Irbid Qasabah,Yes,Sole proprietorship,كراميش للفضيات,"Arts, Entertainment, and Recreation",Visual arts,محل لبيع الفضيات و الاكسسوارات ,797750626,797750626,10 to 49,Small,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,3,0,1,0,1,1,3,0,1,0,1,0,0,0,0,0,,2024-09-01,2024-09-01,12:42:31.696000,13:56:33.442000
378397649,2024-09-01,32.5415967,35.8510807,Irbid,Irbid Qasabah,Yes,Sole proprietorship,الكرمل للتصوير ,Information Technology,IT services,استديو تصوير ,799071585,799071585,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,0,0,1,2,1,0,0,0,0,0,0,1,0,,2024-09-01,2024-09-01,12:46:39.831000,14:37:37.689000
378397655,2024-09-01,32.5405824,35.8513888,Irbid,Irbid Qasabah,Yes,Sole proprietorship,رشراش للكمبيوتر ,Information and Communication,Software development,محل لبيع و إصلاح و برمجه الالكترونيات,779997888,779997888,10 to 49,Small,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,3,1,0,0,1,1,3,1,0,0,0,1,0,0,1,0,,2024-09-01,2024-09-01,12:49:13.726000,14:46:52.204000
378397658,2024-09-01,32.5405457,35.8513065,Irbid,Irbid Qasabah,Yes,Sole proprietorship,المكتشفون ,Information and Communication,Information services,محل إلكترونيات ,797440729,797440729,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,12:50:34.522000,14:50:42.796000
378397664,2024-09-01,32.5405939,35.851314,Irbid,Irbid Qasabah,Yes,Sole proprietorship,سناب شوت استديو ,"Arts, Entertainment, and Recreation",Visual arts,استديو تصوير,788824222,788824222,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,12:51:27.989000,14:20:12.579000
378397672,2024-09-01,32.5406922,35.8514285,Irbid,Irbid Qasabah,Yes,Sole proprietorship,الرفاعي للاحبار و الطباعه,Information Technology,IT services,محل لبيع الأحبار و مستلزمات الطباعه ,796068918,796068918,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2024-09-01,2024-09-01,12:53:05.803000,14:24:28.016000
378397675,2024-09-01,32.5406967,35.8512585,Irbid,Irbid Qasabah,Yes,Share recommendation,Money Gram ,Financial Services,Banking,تحويل عملات و صرافه,796951532,796951532,10 to 49,Small,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,4,0,3,0,0,1,4,1,0,0,0,0,0,1,1,0,,2024-09-01,2024-09-01,12:53:55.395000,14:42:33.567000
378397683,2024-09-01,32.5415584,35.8519317,Irbid,Irbid Qasabah,Yes,Sole proprietorship,Cozy,Accommodation and Food Services (Tourism(,Restaurants,مطعم سناكات ,787994995,787994995,10 to 49,Small,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,6,0,3,2,1,0,6,0,1,0,0,1,1,0,0,0,,2024-09-01,2024-09-01,13:16:21.293000,15:02:25.144000
378397687,2024-09-01,32.4941954596687,35.6841749222709,Irbid,Irbid Qasabah,Yes,Sole proprietorship,مطعم تحسين للمعجنات,Accommodation and Food Services (Tourism(,Restaurants,مطعم معجنات ,78608318,78608318,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,2024-09-01,2024-09-01,15:15:10.469000,17:40:23.443000
378571742,2024-09-02,30.5181183,35.5345025,Maan,Ash-Shobek,Yes,Solidarity and recommendation,Frindes coffe ,Wholesale and Retail Trade,Retail trade (food),مشروبات باردة وساخنة / بيع قهوة وشاي ونسكافيه وكابتشينو ,799065086,799065086,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,عمل قهوة وشاي وخدمة الزبائن ,2024-09-02,2024-09-02,10:00:48.334000,10:12:05.547000
378571745,2024-09-02,30.5175,35.5345349,Maan,Ash-Shobek,Yes,Sole proprietorship,مطعم حمودة سناك ,Accommodation and Food Services (Tourism(,Restaurants,تقديم المشاوي والسناكات /أستراحة تقديم المشروبات الباردة والساخنة ,795918583,776462515,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,لحام / مقدم طعام ,2024-09-02,2024-09-02,09:43:37.968000,09:54:10.627000
378571752,2024-09-02,30.5179483,35.5346112,Maan,Ash-Shobek,Yes,Sole proprietorship,مؤسسة سلطان للأجهزة الخلوية ,Wholesale and Retail Trade,Retail trade (electronics),بيع اجهزة الاتصال ، بطاقات شحن وبطاقات إلكترونية ، شاشات ,777761562,777761562,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,Yes,2,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,,2024-09-02,2024-09-02,10:13:11.154000,10:21:30.849000
378571796,2024-09-02,30.5190573,35.5367965,Maan,Ash-Shobek,Yes,Sole proprietorship,بيت العيلة ,Wholesale and Retail Trade,Retail trade (general merchandise),بيع المنظفات,797598933,797598933,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,10:25:49.846000,10:33:29.051000
378571799,2024-09-02,30.5188963,35.5365952,Maan,Ash-Shobek,Yes,Sole proprietorship,محلات ابو زهير لمواد البناء ,Construction,Residential construction,بيع مواد صحية وكهربائية وخردوات,776813343,772512501,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,10:34:22.951000,10:53:44.555000
378571802,2024-09-02,30.5191777,35.537173,Maan,Ash-Shobek,Yes,Sole proprietorship,ادم هوم للأدوات المنزلية ,Wholesale and Retail Trade,Retail trade (general merchandise),بيع الأدوات المنزلية والعطور والمكياجات ,776159210,77159210,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,10:55:06.151000,11:05:16.443000
378571806,2024-09-02,30.5192671,35.5375846,Maan,Ash-Shobek,Yes,Sole proprietorship,العقيق للبضائع السعودية ,Wholesale and Retail Trade,Retail trade (general merchandise),بيع المنتجات السعودية /العطور ,777932159,777932159,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,11:08:21.144000,11:13:44.799000
378571812,2024-09-02,30.5190564,35.5374834,Maan,Ash-Shobek,Yes,Sole proprietorship,محطة جبال الشوبك ,Utilities,Water supply,تعبئة قوارير الماء ,772474184,772474184,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,11:14:30.955000,11:25:25.668000
378571819,2024-09-02,30.5189912,35.5389975,Maan,Ash-Shobek,Yes,Sole proprietorship,محلات خالد الخشمان ,Wholesale and Retail Trade,Retail trade (general merchandise),بيع المواد التموينية /المجمدات ,772008936,772008936,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,11:28:14.087000,11:33:48.120000
378571822,2024-09-02,30.5187131,35.5391475,Maan,Ash-Shobek,Yes,Sole proprietorship,أسواق ابو حسان للعروض الدائمة ,Wholesale and Retail Trade,Retail trade (food),بيع المواد التموينية /العصائر والمواد الغذائية جميعها ,790443591,790443591,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,11:35:09.642000,11:40:43.468000
378571828,2024-09-02,30.5186468,35.5389058,Maan,Ash-Shobek,Yes,Cooperative,محطة الشماخ ,Utilities,Water supply,تعبئة قوارير المياه ,772099130,772099130,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,تصنيع وتعبئة كاسات ,2024-09-02,2024-09-02,11:43:16.064000,11:49:12.399000
378571831,2024-09-02,30.518554,35.5391374,Maan,Ash-Shobek,Yes,Sole proprietorship,مطعم حماية ,Accommodation and Food Services (Tourism(,Restaurants,تحضير سندويشات /مأكولات شعبية ,775558826,785129292,Less than 10 employees,Micro,Yes,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,عامل بسطة /عامل تنظيف ,Yes,Yes,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,1,عامل بسطة /عامل تنظيف ,2024-09-02,2024-09-02,11:51:47.179000,11:58:32.829000
378571834,2024-09-02,30.5187038,35.5392661,Maan,Ash-Shobek,Yes,Sole proprietorship,مكتبة اسماعيل الرفايعة ,Wholesale and Retail Trade,Retail trade (general merchandise),توفير القرطاسية /الخدمات الإلكترونية ,777634638,770251904,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,على معرفة تامة ببرامج الحاسوب ,2024-09-02,2024-09-02,12:00:53.180000,12:15:00.221000
378571838,2024-09-02,30.518274,35.5396329,Maan,Ash-Shobek,Yes,Sole proprietorship,مخبز وحلويات سنابل الشوبك ,Manufacturing,Food processing,تصنيع الخبز والكعك بأنواعه وجميع انواع الحلويات ,772191092,770368007,10 to 49,Small,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,عامل ترتيب تسفيط وتنظيف ,2024-09-02,2024-09-02,12:22:05.044000,12:39:31.391000
378585100,2024-09-02,32.3329313,36.2110765,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,X5 بيع بالتجزئة ,Wholesale and Retail Trade,Retail trade (automotive),لمبات سماعات ,780919007,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,11:29:44.650000,11:37:47.097000
378585103,2024-09-02,32.3324106,36.211078,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,ماجيك للديكور ,Construction,Specialized trade contracting,تصميم ديكور داخلي وخارجي ,779669595,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,مهندسين عمارة وبكالوريوس تصميم ,2024-09-02,2024-09-02,11:40:48.815000,11:46:55.964000
378585109,2024-09-02,32.3324452,36.2102235,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,معرض غيث للمفروشات,Wholesale and Retail Trade,Retail trade (furniture),مفروشات مكيفات,779595376,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,11:53:36.675000,11:57:25.877000
378585115,2024-09-02,32.332338,36.2095291,Mafraq,Mafraq Al-qasabeh,No,Not Registered,روز للورود,Wholesale and Retail Trade,Retail trade (general merchandise),بوكيهات ورد واشجار صناعي ,790542460,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,0,1,0,2,0,1,0,0,0,0,0,0,1,محاسب وفني تنسيق زهور ,2024-09-02,2024-09-02,11:59:08.850000,12:05:08.053000
378585120,2024-09-02,32.3325464,36.2094676,Mafraq,Mafraq Al-qasabeh,Yes,Private shareholding,لينده للتمويل  ,Financial Services,Financial markets,خدمات مالية وقروض ,790543688,,50 to 250,Medium,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,0,1,0,2,1,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,12:09:03.223000,12:15:19.682000
378585123,2024-09-02,32.3325295,36.2089091,Mafraq,Mafraq Al-qasabeh,Yes,Limited liability,النموذجية الاسلامية للتمويل الاصغر,Financial Services,Financial markets,تمويل المشاريع الصغيرة ,799287283,65529019,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,3,1,1,0,1,0,3,0,1,0,0,0,1,0,0,0,,2024-09-02,2024-09-02,12:16:54.267000,12:24:12.020000
378585125,2024-09-02,32.332498,36.2091368,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,مؤسسة المتميز للتكيف وانظمة التبريد ,Wholesale and Retail Trade,Retail trade (general merchandise),مكيفات مستلزمات المكيفات وقطع الصيانه,775808417,798441785,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,,2024-09-02,2024-09-02,12:28:12.812000,12:39:00.061000
378585130,2024-09-02,32.3325349,36.2088534,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,البتراء لمواد البناء ,Wholesale and Retail Trade,Retail trade (general merchandise),مواد كهربائية صحية ودهانات ,797107844,797107844,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,12:40:53.236000,12:47:39.308000
378585135,2024-09-02,32.3325437,36.2081113,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,مؤسسة عصام بدر القويماني لمواد البناء والكهرباء ,Wholesale and Retail Trade,Retail trade (general merchandise),انارة كهرباء ,776137829,776137829,Less than 10 employees,Micro,Yes,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Yes,Yes,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,12:49:28.963000,12:57:59.052000
378585138,2024-09-02,32.3325856,36.2080005,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,مؤسسة ابو سوار ,Wholesale and Retail Trade,Retail trade (general merchandise),مواد بناء ,795410570,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:00:09.916000,13:04:16.131000
378585142,2024-09-02,32.3326698,36.2075689,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,محل دواجن ,Accommodation and Food Services (Tourism(,Catering,دجاج لحوم بيضاء ,780475912,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:07:05.597000,13:10:03.736000
378585147,2024-09-02,32.3325917,36.207555,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship, محل خضار ,Accommodation and Food Services (Tourism(,Catering,خضروات بيع ,776959062,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:10:25.480000,13:13:24.572000
378585152,2024-09-02,32.3326984,36.2068503,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,محل ابو احمد ,Wholesale and Retail Trade,Retail trade (general merchandise),زهور واشجار وبيع ,798975870,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:16:05.760000,13:19:58.436000
378585156,2024-09-02,32.3328314,36.206387,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,محلات العرقان,Wholesale and Retail Trade,Retail trade (furniture),اثاث بيع ,796082279,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:22:24.579000,13:25:41.215000
378585160,2024-09-02,32.3326101,36.2064035,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,محل النعيلي لمواد البناء ,Wholesale and Retail Trade,Retail trade (general merchandise),ادوات بناء ,775292020,779271120,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:26:24.036000,13:31:13.005000
378585164,2024-09-02,32.3324964,36.2060685,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,محل ماشا والدب ,Wholesale and Retail Trade,Retail trade (general merchandise),العاب اطفال ,772658260,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:32:52.003000,13:36:03.385000
378585169,2024-09-02,32.3354882,36.206449,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,البان الريان,Accommodation and Food Services (Tourism(,Catering,البان واجبان,786498249,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:36:46.841000,13:42:28.107000
378585177,2024-09-02,32.332663,36.2053943,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,كورونا ,Wholesale and Retail Trade,Retail trade (electronics),قطع ساتلايت,777731003,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-09-02,2024-09-02,13:44:22.173000,13:47:24.390000
